hour,P1_0 kW,P1_1 kW,P1_2 kW,P1_3 kW,P1_4 kW,P1_5 kW,P1_6 kW,P1_7 kW,P1_8 kW,P1_9 kW,P1_10 kW
1,495.083,500.832,499.347,499.1,499.869,503.685,502.88,495.868,497.069,499.116,496.914
2,491.543,497.42,495.937,495.692,496.459,500.265,499.462,492.39,493.566,495.66,493.483
3,487.79,493.661,492.181,491.938,492.702,496.499,495.698,488.643,489.817,491.906,489.733
4,484.274,490.131,488.653,488.411,489.173,492.962,492.163,485.125,486.296,488.38,486.212
5,480.398,486.238,484.763,484.522,485.283,489.061,488.264,481.246,482.414,484.492,482.33
6,478.887,484.721,483.247,483.007,483.766,487.541,486.745,479.734,480.902,482.977,480.817
7,477.671,483.499,482.027,481.787,482.546,486.317,485.522,478.517,479.684,481.758,479.599
8,476.448,482.271,480.799,480.56,481.318,485.086,484.291,477.293,478.459,480.531,478.373
9,475.217,481.035,479.564,479.326,480.082,483.848,483.054,476.061,477.226,479.297,477.141
10,473.358,479.167,477.698,477.46,478.216,481.977,481.183,474.2,475.364,477.431,475.278
11,471.481,477.283,475.814,475.577,476.332,480.088,479.296,472.322,473.485,475.549,473.399
12,469.588,475.381,473.914,473.678,474.431,478.183,477.391,470.427,471.588,473.65,471.502
13,467.677,473.462,471.996,471.761,472.513,476.259,475.469,468.514,469.675,471.734,469.588
14,466.715,472.496,471.03,470.796,471.547,475.292,474.502,467.552,468.711,470.769,468.624
15,466.393,472.172,470.707,470.473,471.224,474.967,474.178,467.23,468.389,470.446,468.302
16,466.071,471.848,470.384,470.149,470.901,474.643,473.854,466.907,468.066,470.123,467.979
17,466.07,471.848,470.383,470.149,470.9,474.643,473.853,466.907,468.066,470.122,467.979
18,466.714,472.495,471.029,470.795,471.546,475.29,474.501,467.551,468.71,470.768,468.623
19,468.315,474.103,472.636,472.401,473.153,476.902,476.112,469.153,470.314,472.373,470.227
20,470.221,476.017,474.549,474.313,475.067,478.82,478.028,471.06,472.222,474.285,472.136
21,471.795,477.598,476.129,475.892,476.647,480.404,479.611,472.636,473.799,475.864,473.713
22,474.289,480.103,478.633,478.395,479.151,482.914,482.12,475.132,476.297,478.366,476.211
23,478.28,484.111,482.638,482.398,483.157,486.93,486.134,479.126,480.293,482.368,480.209
24,482.196,488.044,486.568,486.326,487.087,490.87,490.072,483.045,484.215,486.296,484.131
25,486.333,491.689,489.692,488.94,489.189,492.485,491.168,483.58,484.25,485.828,483.11
26,490.676,495.559,493.058,491.809,491.56,494.38,492.554,484.412,484.587,485.667,482.399
27,497.124,501.598,498.851,497.38,496.911,499.53,497.474,489.062,489.018,489.881,486.358
28,503.403,507.708,504.657,503.022,502.271,504.612,502.307,493.792,493.525,494.077,490.246
29,509.494,513.162,509.419,507.092,505.643,507.309,504.276,494.978,493.996,493.815,489.176
30,515.143,518.203,513.795,510.801,508.675,509.682,505.938,495.873,494.185,493.274,487.829
31,520.638,522.662,517.141,513.025,509.745,509.612,504.645,493.283,490.361,488.152,481.29
32,525.734,526.761,520.16,514.947,510.527,509.257,503.064,490.401,486.215,482.678,474.348
33,530.948,531.027,523.388,517.111,511.579,509.189,501.778,487.819,482.369,477.467,467.665
34,535.788,535.167,526.75,519.668,513.291,510.045,501.693,486.726,480.285,474.309,463.318
35,538.634,536.83,527.123,518.705,510.894,506.183,496.231,479.579,471.414,463.557,450.905
36,541.44,538.69,527.939,518.429,509.449,503.508,492.211,474.137,464.51,455.259,440.929
37,543.976,540.5,528.939,518.576,508.672,501.762,489.39,470.178,459.365,448.971,433.269
38,546.706,542.318,529.737,518.292,507.206,499.048,485.285,464.602,452.232,440.383,422.878
39,549.841,544.799,531.47,519.226,507.264,498.176,483.354,461.553,447.999,434.94,416.039
40,553.143,547.477,533.431,520.413,507.597,497.597,481.746,458.834,444.101,429.807,409.508
41,556.173,549.886,535.12,521.325,507.647,496.717,479.81,455.772,439.831,424.278,402.536
42,559.366,552.48,537.021,522.474,507.973,496.136,478.19,453.044,435.909,419.073,395.892
43,561.881,554.58,538.63,523.542,508.421,495.922,477.216,451.255,433.222,415.429,391.174
44,564.361,556.449,539.773,523.901,507.908,494.439,474.616,447.478,428.236,409.039,383.228
45,566.808,558.694,541.767,525.612,509.295,495.497,475.27,447.687,427.847,408.104,381.691
46,569.222,560.707,543.316,526.64,509.733,495.28,474.295,445.899,425.166,404.429,376.922
47,570.031,561.181,543.408,526.313,508.929,493.935,472.341,443.301,421.924,400.425,372.055
48,569.835,560.767,542.756,525.397,507.704,492.365,470.366,440.919,419.227,397.238,368.315
49,569.826,560.576,542.338,524.726,506.741,491.081,468.721,438.883,416.878,394.42,364.984
50,569.635,560.154,541.67,523.792,505.5,489.488,466.718,436.468,414.146,391.18,361.188
51,569.224,559.72,541.199,523.28,504.94,488.873,466.052,435.741,413.41,390.379,360.323
52,569.036,559.508,540.964,523.021,504.655,488.561,465.714,435.375,413.043,389.978,359.887
53,568.837,559.483,541.147,523.438,505.345,489.552,467.047,437.073,415.054,392.435,362.838
54,568.636,559.463,541.337,523.86,506.034,490.538,468.377,438.763,417.059,394.877,365.76
55,568.627,559.656,541.76,524.536,506.995,491.822,470.031,440.805,419.412,397.697,369.093
56,569.031,560.497,543.086,526.397,509.468,494.981,473.972,445.552,424.786,404.041,376.498
57,569.43,561.324,544.397,528.232,511.907,498.091,477.845,450.22,430.355,410.275,383.777
58,570.03,562.559,546.346,530.958,515.52,502.67,483.537,457.071,438.52,419.421,394.437
59,570.426,563.57,548.048,533.402,518.809,506.902,488.807,463.437,446.118,427.975,404.42
60,570.823,564.77,550.143,536.458,522.952,512.216,495.468,471.492,455.725,439.26,417.077
61,571.418,566.171,552.431,539.708,527.272,517.695,502.244,479.622,465.349,450.616,429.78
62,571.811,567.349,554.475,542.672,531.259,522.799,508.559,487.216,474.339,461.212,442.153
63,572.205,568.71,556.89,546.204,536.025,528.864,516.092,496.268,485.029,473.769,456.775
64,572.202,569.64,558.857,549.221,540.211,534.299,522.875,504.472,494.741,485.182,470.071
65,572.201,570.753,561.151,552.785,545.132,540.641,530.769,513.984,505.949,498.283,485.275
66,572.388,572.059,563.645,556.505,550.171,547.043,538.662,523.405,516.96,511.046,499.968
67,572.397,573.148,565.895,559.941,554.87,553.034,546.045,532.251,527.269,522.956,513.633
68,570.626,572.204,565.873,560.842,556.74,555.884,549.948,537.26,533.392,530.265,522.227
69,568.631,571.419,566.374,562.659,559.914,560.413,555.922,544.724,542.339,540.785,534.465
70,566.41,570.6,567.037,564.784,563.556,565.557,562.652,553.125,552.328,552.436,547.921
71,564.367,569.796,567.509,566.525,566.61,569.881,568.306,560.159,560.671,562.129,559.075
