hour,Simulação 0,Simulação 1,Simulação 2,Simulação 3,Simulação 4
1,498.959,498.269,494.303,494.03,497.817
2,495.55,494.828,490.811,490.605,494.389
3,491.795,491.076,487.068,486.863,490.637
4,488.268,487.552,483.554,483.348,487.114
5,484.38,483.666,479.679,479.473,483.229
6,482.864,482.152,478.169,477.963,481.716
7,481.644,480.933,476.953,476.747,480.497
8,480.417,479.706,475.73,475.524,479.271
9,479.182,478.473,474.5,474.293,478.038
10,477.317,476.608,472.64,472.434,476.174
11,475.434,474.727,470.764,470.558,474.293
12,473.534,472.829,468.871,468.665,472.395
13,471.617,470.913,466.961,466.754,470.48
14,470.652,469.949,465.999,465.793,469.516
15,470.329,469.626,465.677,465.47,469.193
16,470.005,469.303,465.355,465.148,468.87
17,470.005,469.303,465.355,465.148,468.87
18,470.651,469.948,465.999,465.792,469.515
19,472.257,471.553,467.599,467.392,471.119
20,474.169,473.464,469.504,469.298,473.03
21,475.749,475.042,471.078,470.872,474.608
22,478.251,477.542,473.572,473.366,477.108
23,482.255,481.543,477.561,477.356,481.107
24,486.184,485.468,481.476,481.271,485.032
25,490.334,488.194,482.747,481.082,483.502
26,494.691,491.173,484.303,481.198,482.283
27,500.93,496.825,489.286,485.522,486.014
28,507.243,502.543,494.381,489.83,489.674
29,513.365,506.764,496.604,489.979,487.8
30,519.042,510.62,498.519,489.848,485.69
31,524.565,513.097,497.699,485.466,477.812
32,529.689,515.267,496.603,480.76,469.598
33,534.932,517.672,495.804,476.336,461.566
34,539.799,520.411,496.093,473.808,456.106
35,542.663,519.758,491.319,464.165,441.742
36,545.486,519.736,487.884,456.597,430.073
37,548.038,520.082,485.533,450.982,421.023
38,550.785,520.052,482.049,443.365,408.788
39,553.94,521.172,480.59,438.671,400.514
40,557.264,522.527,479.437,434.291,392.539
41,560.315,523.632,477.977,429.543,384.065
42,563.53,524.956,476.829,425.118,375.917
43,566.063,526.139,476.201,422.056,370.08
44,568.562,526.695,474.125,416.523,360.486
45,571.027,528.47,474.955,415.911,358.31
46,573.459,529.62,474.332,412.833,352.395
47,574.279,529.394,472.673,409.319,346.608
48,574.081,528.543,470.897,406.435,342.302
49,574.071,527.934,469.437,403.908,338.425
50,573.878,527.065,467.636,400.984,334.041
51,573.464,526.564,467.004,400.225,333.074
52,573.274,526.312,466.682,399.845,332.601
53,573.073,526.671,467.843,402.024,336.06
54,572.871,527.037,469.003,404.195,339.495
55,572.863,527.651,470.473,406.726,343.372
56,573.269,529.374,474.023,412.469,351.929
57,573.672,531.082,477.516,418.116,360.319
58,574.277,533.622,482.656,426.547,372.594
59,574.676,535.886,487.413,434.697,384.075
60,575.076,538.708,493.428,445.003,398.625
61,575.676,541.725,499.581,455.301,413.006
62,576.071,544.467,505.316,464.922,426.479
63,576.468,547.73,512.17,476.351,443.156
64,576.465,550.493,518.343,486.744,458.399
65,576.464,553.758,525.534,498.718,475.74
66,576.653,557.187,532.753,510.446,492.38
67,576.661,560.343,539.523,521.417,507.798
68,574.879,561.032,542.984,528.035,517.669
69,572.868,562.548,548.359,537.646,531.577
70,570.631,564.334,554.442,548.346,546.759
71,568.572,565.787,559.565,557.271,559.289
72,567.315,566.561,562.366,562.172,566.119
73,566.271,565.52,561.335,561.119,565.061
74,565.01,564.261,560.081,559.865,563.804
75,563.954,563.208,559.031,558.814,562.75
76,562.676,561.934,557.762,557.543,561.476
77,561.607,560.867,556.699,556.478,560.41
78,560.313,559.578,555.414,555.191,559.12
79,559.23,558.497,554.337,554.113,558.039
80,557.481,556.758,552.604,552.378,556.3
81,555.501,554.777,550.629,550.401,554.319
82,553.493,552.775,548.634,548.404,552.317
83,551.465,550.752,546.618,546.385,550.294
84,550.328,549.618,545.489,545.254,549.16
85,550.33,549.619,545.49,545.256,549.162
86,550.33,549.619,545.49,545.255,549.161
87,550.33,549.619,545.49,545.255,549.161
88,549.644,548.935,544.808,544.573,548.478
89,546.881,546.178,542.06,541.823,545.721
90,544.313,543.616,539.506,539.266,543.159
91,541.472,540.781,536.682,536.439,540.324
92,538.59,537.906,533.815,533.57,537.449
93,534.187,533.511,529.435,529.185,533.055
94,529.937,529.27,525.208,524.955,528.814
95,525.338,524.68,520.632,520.375,524.224
96,520.896,520.246,516.212,515.952,519.791
