hour,P1_0 kW,P1_1 kW,P1_2 kW,P1_3 kW,P1_4 kW
1,502.212,500.97,498.087,497.236,498.562
2,498.797,497.558,494.681,493.697,495.105
3,495.035,493.798,490.929,489.821,491.352
4,491.501,490.268,487.405,486.3,487.827
5,487.605,486.375,483.519,482.421,483.941
6,486.087,484.858,482.005,480.909,482.427
7,484.864,483.636,480.786,479.692,481.208
8,483.635,482.407,479.559,478.467,479.981
9,482.398,481.172,478.326,477.235,478.747
10,480.529,479.304,476.462,475.374,476.883
11,478.642,477.419,474.58,473.496,475.002
12,476.739,475.517,472.682,471.601,473.103
13,474.818,473.598,470.766,469.688,471.187
14,473.851,472.632,469.802,468.725,470.223
15,473.527,472.308,469.479,468.403,469.9
16,473.204,471.984,469.156,468.08,469.577
17,473.203,471.984,469.156,468.08,469.577
18,473.85,472.631,469.801,468.724,470.222
19,475.46,474.239,471.406,470.326,471.827
20,477.375,476.153,473.316,472.234,473.738
21,478.958,477.734,474.895,473.81,475.316
22,481.465,480.24,477.396,476.307,477.817
23,485.476,484.248,481.396,480.301,481.818
24,489.412,488.181,485.322,484.22,485.744
25,493.57,488.065,485.175,484.119,485.614
26,497.935,488.254,485.332,484.322,485.789
27,504.237,492.631,489.687,488.81,490.152
28,510.556,496.92,493.979,493.318,494.522
29,516.687,497.162,498.945,502.886,508.744
30,522.372,497.119,498.835,502.83,508.598
31,527.904,492.862,494.572,498.773,504.474
32,533.034,488.272,489.979,494.407,500.03
33,538.284,483.957,488.864,496.45,504.994
34,543.158,481.512,486.395,494.145,502.61
35,546.025,471.969,477.044,485.299,493.777
36,548.852,464.603,469.686,478.364,486.823
37,551.407,459.124,472.568,488.866,504.677
38,554.157,451.589,465.113,481.995,497.932
39,557.316,446.959,460.53,477.78,493.731
40,560.643,442.636,456.257,473.857,489.796
41,563.697,437.939,443.041,453.193,461.289
42,566.915,433.56,438.69,449.125,457.086
43,569.451,430.528,435.673,446.32,454.179
44,571.952,425.026,430.236,441.133,448.872
45,574.419,424.433,420.837,423.158,422.123
46,576.853,421.378,417.763,420.282,419.093
47,577.673,417.867,414.245,416.801,415.61
48,577.474,414.984,411.363,413.861,412.751
49,577.465,412.454,408.832,411.301,410.24
50,577.272,409.526,405.904,408.472,407.336
51,576.857,408.764,405.145,407.727,406.58
52,576.667,408.383,404.765,407.356,406.202
53,576.467,410.564,406.949,409.452,408.365
54,576.265,412.735,409.122,411.54,410.518
55,576.256,415.267,411.655,414.035,413.031
56,576.663,421.011,417.4,419.895,418.731
57,577.066,426.656,423.049,425.649,424.337
58,577.671,434.945,431.345,434.085,432.712
59,578.07,442.876,439.413,441.937,440.803
60,578.47,453.18,449.73,451.87,451.03
61,579.071,463.469,451.65,445.468,435.677
62,579.467,473.069,461.522,455.231,445.985
63,579.864,484.459,473.238,466.825,458.221
64,579.861,494.802,483.852,477.357,469.311
65,579.86,506.703,488.653,474.553,458.187
66,580.049,518.348,500.939,487.035,471.658
67,580.057,529.229,512.4,498.71,484.211
68,578.274,535.763,519.258,505.624,491.631
69,576.261,545.252,522.57,501.953,480.009
70,574.022,555.805,533.883,513.678,492.861
71,571.961,564.6,543.313,523.467,503.561
72,570.712,569.424,548.494,528.85,509.44
73,569.659,568.366,541.065,514.261,485.841
74,568.396,567.105,539.643,512.706,484.05
75,567.339,566.048,538.455,511.363,482.506
76,566.061,564.771,537.018,509.752,480.652
77,564.99,563.701,542.265,522.069,501.916
78,563.695,562.407,540.846,520.574,500.268
79,562.611,561.323,539.698,519.275,498.785
80,560.86,559.579,537.756,517.207,496.472
81,558.878,557.592,542.082,528.319,515.789
82,556.868,555.585,539.951,526.057,513.367
83,554.838,553.556,537.798,523.78,551.045
84,553.7,552.419,536.616,522.533,549.91
85,553.701,552.42,549.454,548.386,549.91
86,553.701,552.42,549.454,548.384,549.91
87,553.701,552.42,549.454,548.384,549.91
88,553.015,551.734,548.77,547.705,549.227
89,550.248,548.97,546.012,544.962,546.471
90,547.677,546.4,543.448,542.412,543.909
91,544.833,543.558,540.613,539.592,541.076
92,541.947,540.675,537.735,536.729,538.2
93,537.538,536.269,533.34,532.355,533.808
94,533.283,532.017,529.097,528.132,529.567
95,528.677,527.415,524.505,523.561,524.978
96,524.229,522.97,520.069,519.144,520.545
