hour,P1_0 kW,P1_1 kW,P1_2 kW,P1_3 kW,P1_4 kW,P1_5 kW,P1_6 kW,P1_7 kW,P1_8 kW,P1_9 kW,P1_10 kW
1,498.015,493.81,496.616,499.421,499.195,498.683,498.597,503.491,501.797,501.135,496.406
2,494.61,490.315,493.172,495.933,495.692,495.21,495.189,500.073,498.383,497.709,492.945
3,490.858,486.573,489.423,492.178,491.937,491.456,491.436,496.307,494.622,493.949,489.197
4,487.334,483.06,485.903,488.652,488.411,487.932,487.91,492.771,491.09,490.419,485.677
5,483.448,479.186,482.022,484.764,484.524,484.045,484.023,488.871,487.195,486.526,481.796
6,481.934,477.676,480.509,483.249,483.01,482.531,482.508,487.352,485.677,485.009,480.284
7,480.715,476.461,479.291,482.029,481.79,481.312,481.288,486.128,484.455,483.787,479.066
8,479.489,475.238,478.066,480.802,480.563,480.085,480.061,484.898,483.226,482.559,477.842
9,478.255,474.008,476.834,479.568,479.329,478.851,478.827,483.66,481.989,481.323,476.61
10,476.391,472.15,474.972,477.703,477.464,476.987,476.962,481.789,480.12,479.455,474.748
11,474.51,470.274,473.093,475.82,475.583,475.106,475.08,479.901,478.235,477.57,472.869
12,472.612,468.382,471.196,473.921,473.684,473.207,473.181,477.996,476.332,475.669,470.973
13,470.696,466.472,469.283,472.004,471.767,471.291,471.264,476.073,474.411,473.749,469.06
14,469.732,465.511,468.32,471.04,470.803,470.327,470.299,475.105,473.445,472.783,468.097
15,469.409,465.189,467.997,470.717,470.48,470.004,469.976,474.781,473.121,472.46,467.775
16,469.086,464.867,467.674,470.393,470.157,469.681,469.653,474.457,472.797,472.136,467.452
17,469.085,464.867,467.674,470.393,470.156,469.68,469.653,474.457,472.797,472.136,467.452
18,469.731,465.51,468.319,471.039,470.802,470.326,470.298,475.104,473.444,472.782,468.096
19,471.335,467.11,469.922,472.645,472.408,471.931,471.904,476.716,475.053,474.391,469.699
20,473.246,469.015,471.83,474.556,474.318,473.841,473.815,478.633,476.968,476.304,471.607
21,474.824,470.588,473.407,476.135,475.897,475.42,475.394,480.217,478.55,477.885,473.183
22,477.325,473.081,475.905,478.637,478.399,477.921,477.896,482.726,481.057,480.391,475.681
23,481.325,477.069,479.901,482.64,482.401,481.922,481.899,486.741,485.067,484.399,479.676
24,485.251,480.983,483.822,486.567,486.327,485.848,485.826,490.68,489.002,488.332,483.596
25,489.398,484.603,486.939,489.189,488.438,487.439,486.887,491.275,489.07,487.883,482.576
26,493.752,488.447,490.296,492.066,490.816,489.31,488.237,492.167,489.44,487.741,481.866
27,500.058,494.593,496.144,497.717,496.231,494.431,493.13,496.867,493.901,491.969,485.824
28,506.359,500.662,502.018,503.392,501.692,499.675,497.99,501.491,498.296,496.136,489.749
29,512.472,511.464,517.5,523.408,526.274,528.872,531.924,539.646,540.97,543.234,541.593
30,518.142,516.342,521.637,526.83,528.972,530.857,533.197,540.309,540.952,542.564,540.211
31,523.658,520.647,524.787,528.863,529.877,530.633,531.834,537.954,537.507,538.064,534.563
32,528.774,524.605,527.631,530.617,530.526,530.161,530.222,535.339,533.785,533.262,528.584
33,534.009,531.164,535.533,539.816,541.026,541.982,543.4,549.731,549.459,550.194,546.857
34,538.869,535.121,538.629,542.071,542.427,542.523,543.071,548.635,547.518,547.43,543.195
35,541.727,536.693,538.939,541.141,540.239,539.057,538.288,542.682,540.28,538.93,533.327
36,544.546,538.459,539.667,540.841,538.883,536.619,534.725,538.107,534.592,532.139,525.331
37,547.094,542.484,545.192,547.84,547.38,546.653,546.364,551.197,549.244,548.341,543.207
38,549.835,544.189,545.876,547.518,546.023,544.246,542.87,546.728,543.704,541.743,535.457
39,552.985,546.53,547.422,548.274,545.965,543.341,541.091,544.161,540.262,537.432,530.192
40,556.303,549.06,549.177,549.25,546.132,542.677,539.546,541.819,537.033,533.315,525.102
41,559.348,551.334,550.686,549.988,546.065,541.773,537.757,539.218,533.527,528.898,519.684
42,562.556,553.795,552.401,550.946,546.228,541.104,536.203,536.846,530.24,524.684,514.449
43,565.085,555.775,553.836,551.826,546.52,540.778,535.217,535.245,527.949,521.691,510.681
44,567.578,557.539,554.86,552.093,545.987,539.394,532.925,532.095,523.838,516.596,504.512
45,570.038,555.455,547.983,540.243,528.796,516.41,503.503,496.421,481.202,466.643,446.521
46,572.465,557.413,549.458,541.199,529.16,516.135,502.504,494.714,478.656,463.236,442.121
47,573.282,557.855,549.527,540.876,528.401,514.894,500.711,492.367,475.683,459.587,437.731
48,573.084,557.454,548.903,540.013,527.275,513.473,498.956,490.278,473.22,456.709,434.419
