hour,P1_0 kW,P1_1 kW,P1_2 kW,P1_3 kW
1,496.797,499.688,496.01,505.037
2,493.368,496.278,492.61,501.614
3,489.619,492.521,488.863,497.845
4,486.098,488.993,485.343,494.304
5,482.216,485.102,481.463,490.4
6,480.703,483.586,479.951,488.879
7,479.485,482.366,478.733,487.654
8,478.26,481.138,477.508,486.422
9,477.027,479.903,476.276,485.183
10,475.165,478.036,474.414,483.31
11,473.285,476.153,472.536,481.42
12,471.389,474.252,470.64,479.512
13,469.475,472.334,468.726,477.588
14,468.512,471.368,467.763,476.619
15,468.189,471.045,467.441,476.294
16,467.866,470.721,467.118,475.97
17,467.866,470.721,467.118,475.969
18,468.51,471.367,467.763,476.618
19,470.114,472.974,469.365,478.231
20,472.023,474.887,471.273,480.15
21,473.6,476.468,472.85,481.736
22,476.098,478.971,475.347,484.248
23,480.095,482.977,479.342,488.267
24,484.017,486.907,483.263,492.211
25,486.734,489.635,485.974,494.969
26,489.703,492.616,488.937,497.98
27,495.339,498.239,494.539,503.631
28,501.049,503.885,500.245,509.269
29,505.258,523.01,533.554,555.468
30,509.103,526.587,536.845,558.606
31,511.564,528.856,538.901,560.587
32,513.719,530.841,540.693,562.318
33,516.11,539.796,555.424,581.977
34,518.836,542.232,557.573,583.983
35,518.168,541.556,556.87,583.354
36,518.134,541.469,556.717,583.228
37,518.469,548.184,568.817,599.705
38,518.426,548.071,568.626,599.53
39,519.537,548.994,569.372,600.212
40,520.882,550.136,570.313,601.065
41,521.977,551.039,571.043,601.727
42,523.292,552.159,571.967,602.564
43,524.468,553.158,572.802,603.319
44,525.015,553.586,573.113,603.6
45,526.785,542.74,551.243,572.597
46,527.929,543.809,552.203,573.516
47,527.698,543.568,551.957,573.291
48,526.845,542.752,551.179,572.554
49,526.234,535.753,538.23,554.271
50,525.363,534.915,537.402,553.468
51,524.861,534.426,536.929,553.007
52,524.609,534.179,536.691,552.776
53,524.97,527.952,524.006,533.974
54,525.338,528.319,524.375,534.34
55,525.955,528.937,524.994,534.954
56,527.682,530.669,526.726,536.675
57,529.395,532.386,528.443,538.383
58,531.943,534.935,530.992,540.917
59,534.213,537.213,533.27,543.18
60,537.044,540.052,536.111,545.999
61,540.07,543.087,539.148,549.015
62,542.821,545.846,541.91,551.755
63,546.095,549.13,545.196,555.013
64,548.868,551.912,547.984,557.769
65,552.146,542.906,526.065,522.682
66,555.587,546.516,529.861,526.636
67,558.756,549.839,533.345,530.249
68,559.454,550.541,534.061,530.938
69,560.986,545.921,522.556,511.824
70,562.789,547.797,524.528,513.831
71,564.256,549.332,526.138,515.458
72,565.039,550.137,526.978,516.3
73,563.998,542.697,512.012,492.611
74,562.74,541.276,510.405,490.774
75,561.688,540.085,509.058,489.229
76,560.415,538.645,507.429,487.36
77,559.349,537.438,506.061,485.79
78,558.06,535.978,504.407,483.89
79,556.98,534.754,503.019,565.536
80,555.242,532.779,554.453,563.777
81,553.262,556.256,552.471,561.782
82,551.262,554.247,550.471,559.766
83,549.24,552.219,548.449,557.73
84,548.107,551.082,547.316,556.589
85,548.108,551.081,547.316,556.588
86,548.108,551.081,547.316,556.588
87,548.108,551.081,547.316,556.588
88,547.425,550.397,546.633,555.902
89,544.67,547.633,543.879,553.126
90,542.109,545.064,541.318,550.547
91,539.277,542.222,538.487,547.694
92,536.403,539.339,535.613,544.8
93,532.012,534.935,531.224,540.38
94,527.774,530.685,526.987,536.114
95,523.187,526.085,522.402,531.497
96,518.756,521.642,517.974,527.038
