hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 900.00000, -0.915623, -0.6629, -2.91397, -2.10968, -1.4959, -1.08301
0, 1800.00000, -0.925817, -0.670279, -2.94545, -2.13246, -1.51559, -1.09727
0, 2700.00000, -0.9371, -0.678448, -2.98017, -2.1576, -1.53748, -1.11311
1, 0.00000, -0.947736, -0.686149, -3.01279, -2.18122, -1.55819, -1.12811
1, 900.00000, -0.959506, -0.694669, -3.04877, -2.20726, -1.58122, -1.14477
1, 1800.00000, -0.964105, -0.697999, -3.06278, -2.21741, -1.59024, -1.15131
1, 2700.00000, -0.967797, -0.700667, -3.07405, -2.22551, -1.59751, -1.15654
2, 0.00000, -0.971527, -0.703366, -3.08539, -2.23371, -1.60485, -1.16185
2, 900.00000, -0.975283, -0.706084, -3.09679, -2.24196, -1.61225, -1.1672
2, 1800.00000, -0.980987, -0.710221, -3.11403, -2.2545, -1.62349, -1.17538
2, 2700.00000, -0.986733, -0.71438, -3.1314, -2.26707, -1.63486, -1.1836
3, 0.00000, -0.992538, -0.718582, -3.14891, -2.27974, -1.64636, -1.19192
3, 900.00000, -0.998404, -0.722829, -3.16656, -2.29251, -1.65801, -1.20035
3, 1800.00000, -1.00136, -0.724973, -3.17543, -2.29895, -1.66389, -1.20462
3, 2700.00000, -1.00235, -0.725681, -3.17839, -2.30107, -1.66585, -1.20603
4, 0.00000, -1.00334, -0.726398, -3.18136, -2.30322, -1.66783, -1.20745
4, 900.00000, -1.00335, -0.726411, -3.18136, -2.30327, -1.66783, -1.20749
4, 1800.00000, -1.00139, -0.725002, -3.17543, -2.29906, -1.66391, -1.2047
4, 2700.00000, -0.996453, -0.721422, -3.16064, -2.2883, -1.65411, -1.19758
5, 0.00000, -0.990606, -0.717189, -3.14304, -2.27555, -1.64251, -1.18918
5, 900.00000, -0.985779, -0.713693, -3.12848, -2.265, -1.63295, -1.18225
5, 1800.00000, -0.978144, -0.708166, -3.10539, -2.24829, -1.61786, -1.17133
5, 2700.00000, -0.955512, -0.703508, -3.03363, -2.23356, -1.57649, -1.16072
6, 0.00000, -0.943963, -0.694763, -2.99854, -2.20695, -1.55379, -1.14361
6, 900.00000, -0.92192, -0.689532, -2.92861, -2.1904, -1.51366, -1.13212
6, 1800.00000, -0.890087, -0.687625, -2.82628, -2.18344, -1.45743, -1.12594
6, 2700.00000, -0.864166, -0.677225, -2.74478, -2.15101, -1.40979, -1.10482
7, 0.00000, -0.839637, -0.667049, -2.66748, -2.11918, -1.36493, -1.08437
7, 900.00000, -0.798743, -0.618256, -2.54873, -1.97303, -1.29451, -1.00203
7, 1800.00000, -0.761858, -0.617182, -2.429, -1.96775, -1.23062, -0.996972
7, 2700.00000, -0.709928, -0.622352, -2.26021, -1.98142, -1.14318, -1.0022
8, 0.00000, -0.659311, -0.628052, -2.09607, -1.99671, -1.05859, -1.00844
8, 900.00000, -0.615223, -0.605752, -1.95878, -1.92846, -0.985123, -0.969893
8, 1800.00000, -0.576652, -0.608171, -1.834, -1.9342, -0.920884, -0.971215
8, 2700.00000, -0.521771, -0.621526, -1.65633, -1.97307, -0.83178, -0.990863
9, 0.00000, -0.474535, -0.631938, -1.50405, -2.00299, -0.755189, -1.00574
9, 900.00000, -0.464612, -0.575363, -1.48031, -1.83297, -0.738741, -0.914657
9, 1800.00000, -0.421075, -0.585148, -1.33966, -1.86165, -0.668443, -0.928916
9, 2700.00000, -0.388023, -0.590356, -1.23323, -1.87626, -0.61494, -0.935581
10, 0.00000, -0.35542, -0.595001, -1.12848, -1.8891, -0.562267, -0.941248
10, 900.00000, -0.279549, -0.665569, -0.880753, -2.09687, -0.440913, -1.04983
10, 1800.00000, -0.244656, -0.670078, -0.770059, -2.10883, -0.385186, -1.05487
10, 2700.00000, -0.219133, -0.672901, -0.68922, -2.11616, -0.344494, -1.05773
11, 0.00000, -0.183097, -0.679267, -0.575235, -2.13382, -0.287365, -1.06603
11, 900.00000, -0.103402, -0.752745, -0.321999, -2.34378, -0.161547, -1.17574
11, 1800.00000, -0.0765892, -0.755201, -0.238316, -2.34986, -0.11944, -1.17781
11, 2700.00000, -0.0552343, -0.760071, -0.171719, -2.36329, -0.0860616, -1.1845
12, 0.00000, -0.0415741, -0.765016, -0.129158, -2.3773, -0.0647582, -1.19196
12, 900.00000, -0.0286726, -0.769193, -0.0890243, -2.38906, -0.0446454, -1.19816
12, 1800.00000, -0.0145802, -0.774236, -0.045214, -2.4033, -0.022683, -1.20575
12, 2700.00000, -0.0124625, -0.775979, -0.0386591, -2.40834, -0.0194029, -1.20861
13, 0.00000, -0.0113869, -0.776852, -0.035328, -2.41088, -0.0177326, -1.21004
13, 900.00000, -0.0235238, -0.773507, -0.0730612, -2.40157, -0.0366688, -1.20524
13, 1800.00000, -0.0355785, -0.770137, -0.110536, -2.39218, -0.0554689, -1.20039
13, 2700.00000, -0.0485063, -0.765955, -0.150774, -2.38041, -0.0756402, -1.19419
14, 0.00000, -0.075708, -0.756067, -0.235603, -2.35237, -0.118107, -1.17923
14, 900.00000, -0.102058, -0.746336, -0.317925, -2.32467, -0.159253, -1.16446
14, 1800.00000, -0.139997, -0.732131, -0.436783, -2.28407, -0.218545, -1.14283
14, 2700.00000, -0.175479, -0.719095, -0.548265, -2.24669, -0.274053, -1.12301
15, 0.00000, -0.220027, -0.702775, -0.68869, -2.1997, -0.343822, -1.09818
15, 900.00000, -0.20795, -0.760645, -0.64649, -2.36474, -0.323917, -1.1848
15, 1800.00000, -0.253634, -0.743397, -0.790127, -2.31538, -0.395375, -1.15861
15, 2700.00000, -0.307002, -0.723114, -0.958723, -2.2573, -0.47904, -1.12791
16, 0.00000, -0.356852, -0.704889, -1.11683, -2.20502, -0.557382, -1.10049
16, 900.00000, -0.377476, -0.756338, -1.1741, -2.35255, -0.588019, -1.17824
16, 1800.00000, -0.43808, -0.732852, -1.3669, -2.28539, -0.683472, -1.14282
16, 2700.00000, -0.4936, -0.711081, -1.54416, -2.22303, -0.771017, -1.11008
17, 0.00000, -0.537772, -0.699115, -1.68439, -2.18989, -0.841016, -1.09348
17, 900.00000, -0.577516, -0.756979, -1.79744, -2.35604, -0.901678, -1.18193
17, 1800.00000, -0.648441, -0.736654, -2.0238, -2.2993, -1.01482, -1.15304
