hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 900.00000, 500.991, 448.041, 808.261, 613.655, 403.23, 776.802
0, 1800.00000, 497.577, 443.965, 800.944, 603.48, 403.829, 766.809
0, 2700.00000, 493.817, 439.483, 792.827, 592.385, 404.372, 755.809
1, 0.00000, 490.285, 435.268, 785.155, 582.075, 404.766, 745.491
1, 900.00000, 486.391, 430.613, 776.647, 570.83, 405.07, 734.13
1, 1800.00000, 484.873, 428.8, 773.318, 566.485, 405.152, 729.711
1, 2700.00000, 483.651, 427.337, 770.633, 563.001, 405.203, 726.154
2, 0.00000, 482.422, 425.866, 767.927, 559.509, 405.24, 722.578
2, 900.00000, 481.186, 424.385, 765.201, 556.01, 405.264, 718.985
2, 1800.00000, 479.317, 422.145, 761.074, 550.749, 405.275, 713.559
2, 2700.00000, 477.432, 419.884, 756.9, 545.471, 405.254, 708.091
3, 0.00000, 475.529, 417.601, 752.678, 540.179, 405.201, 702.581
3, 900.00000, 473.609, 415.295, 748.409, 534.87, 405.115, 697.029
3, 1800.00000, 472.643, 414.136, 746.257, 532.211, 405.061, 694.238
3, 2700.00000, 472.319, 413.746, 745.536, 531.323, 405.04, 693.304
4, 0.00000, 471.995, 413.357, 744.814, 530.435, 405.018, 692.369
4, 900.00000, 471.995, 413.357, 744.814, 530.435, 405.018, 692.369
4, 1800.00000, 472.642, 414.133, 746.255, 532.21, 405.059, 694.235
4, 2700.00000, 474.25, 416.062, 749.836, 536.639, 405.146, 698.881
5, 0.00000, 476.165, 418.365, 754.09, 541.945, 405.222, 704.423
5, 900.00000, 477.747, 420.263, 757.599, 546.353, 405.26, 709.006
5, 1800.00000, 480.253, 423.269, 763.143, 553.382, 405.274, 716.278
5, 2700.00000, 484.263, 428.073, 771.978, 564.745, 405.179, 727.937
6, 0.00000, 488.197, 432.78, 780.599, 576.032, 404.947, 739.401
6, 900.00000, 490.93, 437.041, 786.545, 586.357, 403.45, 748.899
6, 1800.00000, 493.915, 441.571, 792.977, 597.438, 401.855, 759.079
6, 2700.00000, 499.544, 448.696, 805.015, 615.176, 400.365, 776.151
7, 0.00000, 505.14, 455.998, 816.484, 632.878, 398.718, 792.812
7, 900.00000, 522.838, 470.449, 852.975, 667.483, 404.807, 832.113
7, 1800.00000, 526.429, 476.577, 859.59, 682.219, 401.646, 844.345
7, 2700.00000, 528.726, 481.842, 863.331, 694.907, 397.686, 853.841
8, 0.00000, 530.735, 486.686, 866.433, 706.59, 393.832, 862.379
8, 900.00000, 541.093, 496.419, 886.957, 731.263, 394.301, 887.305
8, 1800.00000, 543.533, 501.351, 890.769, 743.421, 390.621, 896.378
8, 2700.00000, 542.866, 503.058, 888.541, 747.316, 387.343, 897.542
9, 0.00000, 542.782, 505.091, 887.533, 752.088, 384.38, 899.833
