hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 2.56418E-006, 5.95881E-006, -2.37544E-007, -8.15104E-006, -2.32664E-006, -9.11876E-006
2, 0.00000, 2.59169E-006, 6.06782E-006, -2.35264E-007, -8.19055E-006, -2.35642E-006, -9.21799E-006
3, 0.00000, 2.6007E-006, 6.10403E-006, -2.34343E-007, -8.20337E-006, -2.36636E-006, -9.25121E-006
4, 0.00000, 2.61421E-006, 6.15877E-006, -2.32762E-007, -8.22241E-006, -2.38145E-006, -9.30182E-006
5, 0.00000, 2.61581E-006, 6.1653E-006, -2.3256E-007, -8.22466E-006, -2.38325E-006, -9.3079E-006
6, 0.00000, 2.604E-006, 6.11736E-006, -2.33977E-007, -8.20804E-006, -2.37003E-006, -9.26349E-006
7, 0.00000, 2.5749E-006, 6.00101E-006, -2.36747E-007, -8.16653E-006, -2.33815E-006, -9.15704E-006
8, 0.00000, -0.402366, 5.1804E-005, -0.402362, -3.29696E-006, -0.40238, 5.1821E-005
9, 0.00000, -1.47711, 0.000830403, -1.48098, -0.000134526, -1.48078, 0.000830608
10, 0.00000, -2.79037, 0.00276537, -2.84053, -0.00019774, -2.8403, 0.00305539
11, 0.00000, -3.85871, 0.00546262, -4.00606, -0.000871607, -4.00535, 0.00654748
12, 0.00000, -4.77996, 0.00809752, -5.04176, -0.000774777, -5.04167, 0.0102544
13, 0.00000, -5.31712, 0.00983472, -5.59696, -0.00104552, -5.59702, 0.0128463
14, 0.00000, -5.45985, 0.0114892, -5.7365, -0.00131243, -5.736, 0.0138929
15, 0.00000, -5.10926, 0.00963573, -5.38881, -0.00138326, -5.38811, 0.0119474
16, 0.00000, -4.30349, 0.00647346, -4.55732, -0.00059963, -4.5575, 0.00848253
17, 0.00000, -3.12883, 0.00343964, -3.31914, -0.00027789, -3.31923, 0.00444151
18, 0.00000, -1.6727, 0.000985596, -1.75179, -6.42033E-005, -1.7518, 0.00119378
19, 0.00000, 2.42585E-006, 5.44047E-006, -2.40793E-007, -7.93954E-006, -2.18506E-006, -8.64995E-006
20, 0.00000, 2.43798E-006, 5.48415E-006, -2.40797E-007, -7.95878E-006, -2.19719E-006, -8.69042E-006
21, 0.00000, 2.4577E-006, 5.55572E-006, -2.40983E-007, -7.99012E-006, -2.21671E-006, -8.75472E-006
22, 0.00000, 2.45768E-006, 5.55567E-006, -2.40935E-007, -7.99002E-006, -2.21674E-006, -8.75494E-006
23, 0.00000, 2.48328E-006, 5.65001E-006, -2.40748E-007, -8.02986E-006, -2.24253E-006, -8.84022E-006
24, 0.00000, 2.52181E-006, 5.79501E-006, -2.39757E-007, -8.08844E-006, -2.28206E-006, -8.97102E-006
