hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 900.00000, 498.428, 455.554, 801.047, 630.491, 390.395, 783.665
0, 1800.00000, 494.434, 450.737, 792.722, 618.536, 391.218, 772.123
0, 2700.00000, 490.086, 445.524, 783.535, 605.644, 391.972, 759.526
1, 0.00000, 485.645, 440.188, 774.082, 592.638, 392.569, 746.675
1, 900.00000, 481.414, 435.103, 765.011, 580.401, 392.978, 734.453
1, 1800.00000, 476.784, 429.529, 755.02, 567.183, 393.247, 721.105
1, 2700.00000, 472.048, 423.819, 744.738, 553.856, 393.328, 707.492
2, 0.00000, 467.202, 417.967, 734.158, 540.423, 393.21, 693.607
2, 900.00000, 462.239, 411.965, 723.271, 526.885, 392.879, 679.448
2, 1800.00000, 457.153, 405.807, 712.069, 513.243, 392.324, 665.008
2, 2700.00000, 452.29, 399.911, 701.32, 500.421, 391.588, 651.274
3, 0.00000, 446.948, 393.428, 689.48, 486.587, 390.555, 636.281
3, 900.00000, 441.46, 386.764, 677.298, 472.659, 389.251, 620.996
3, 1800.00000, 435.819, 379.911, 664.763, 458.639, 387.659, 605.415
3, 2700.00000, 430, 372.855, 651.862, 444.542, 385.741, 589.545
4, 0.00000, 424.015, 365.591, 638.59, 430.352, 383.511, 573.368
4, 900.00000, 418.26, 358.613, 625.857, 417.037, 381.116, 557.996
4, 1800.00000, 411.901, 350.913, 611.834, 402.697, 378.196, 541.231
4, 2700.00000, 405.327, 342.97, 597.406, 388.287, 374.884, 524.161
5, 0.00000, 398.521, 334.771, 582.564, 373.812, 371.157, 506.787
5, 900.00000, 391.444, 326.305, 567.293, 359.284, 366.972, 489.126
5, 1800.00000, 384.113, 317.557, 551.585, 344.697, 362.33, 471.151
5, 2700.00000, 376.491, 308.515, 535.426, 330.065, 357.188, 452.88
6, 0.00000, 368.552, 299.163, 518.805, 315.393, 351.517, 434.317
6, 900.00000, 350.929, 285.366, 484.99, 296.181, 334.472, 404.669
6, 1800.00000, 332.531, 271.806, 451.105, 278.419, 316.079, 376.285
6, 2700.00000, 317.369, 259.21, 423.597, 262.101, 301.472, 351.884
7, 0.00000, 301.161, 246.221, 395.202, 246.046, 285.543, 327.466
7, 900.00000, 271.567, 228.86, 347.298, 227.286, 254.24, 293.555
