hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 5.64171, 2.40328, 5.6417, 2.40343, 5.64158, 2.40332, 0, 0
2, 0.00000, 5.2134, 2.22091, 5.21326, 2.22092, 5.21333, 2.22077, 0, 0
3, 0.00000, 5.07259, 2.16085, 5.07247, 2.16099, 5.07242, 2.16078, 0, 0
4, 0.00000, 4.86097, 2.07067, 4.86079, 2.07088, 4.86071, 2.07057, 0, 0
5, 0.00000, 4.83569, 2.05995, 4.8357, 2.06004, 4.8356, 2.05998, 0, 0
6, 0.00000, 5.02071, 2.1389, 5.02087, 2.13871, 5.02095, 2.13899, 0, 0
7, 0.00000, 5.47502, 2.33243, 5.4749, 2.33231, 5.47507, 2.33226, 0, 0
8, 0.00000, 6.23096, 2.65458, 6.23051, 2.65432, 6.23099, 2.65403, 0, 0
9, 0.00000, 6.93355, 2.95383, 6.93297, 2.95369, 6.93342, 2.95319, 0, 0
10, 0.00000, 7.33332, 3.12408, 7.33324, 3.12392, 7.33344, 3.12394, 0, 0
11, 0.00000, 7.83337, 3.33716, 7.83314, 3.33692, 7.83349, 3.33685, 0, 0
12, 0.00000, 8.24183, 3.51105, 8.24147, 3.51104, 8.24167, 3.51069, 0, 0
13, 0.00000, 8.20868, 3.49688, 8.20802, 3.49704, 8.20821, 3.49627, 0, 0
14, 0.00000, 8.16675, 3.4788, 8.16682, 3.4792, 8.16639, 3.479, 0, 0
15, 0.00000, 8.24808, 3.51386, 8.24838, 3.51345, 8.24862, 3.514, 0, 0
16, 0.00000, 8.32468, 3.54627, 8.32532, 3.54618, 8.32508, 3.54688, 0, 0
17, 0.00000, 8.33331, 3.54982, 8.3335, 3.55005, 8.33319, 3.5501, 0, 0
18, 0.00000, 7.98335, 3.4007, 7.9835, 3.40101, 7.98315, 3.40096, 0, 0
19, 0.00000, 7.80003, 3.32263, 7.80013, 3.32291, 7.79984, 3.32283, 0, 0
20, 0.00000, 7.60807, 3.24105, 7.60857, 3.24088, 7.60845, 3.24151, 0, 0
21, 0.00000, 7.30034, 3.10964, 7.29997, 3.11029, 7.29956, 3.10944, 0, 0
22, 0.00000, 7.30009, 3.10976, 7.29999, 3.10991, 7.29989, 3.10969, 0, 0
23, 0.00000, 6.90028, 2.9392, 6.90004, 2.93983, 6.89957, 2.93915, 0, 0
24, 0.00000, 6.30011, 2.68371, 6.30001, 2.68396, 6.29985, 2.6837, 0, 0
