hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -3.84424E-015, 6.29468E-014, 5.54927E-014, 3.61725E-015, 0, 0, 0, 0
2, 0.00000, -3.93448E-015, 4.81605E-018, 4.42388E-014, 4.58138E-014, -4.26623E-014, 1.28183E-014, 0, 0
3, 0.00000, -3.93467E-015, 4.55805E-018, -1.13405E-014, 4.22132E-014, 0, 0, 0, 0
4, 0.00000, -3.86779E-015, 6.29634E-014, 1.33982E-014, -7.72412E-015, 0, 0, 0, 0
5, 0.00000, -7.87001E-015, 8.27917E-018, -4.2248E-014, -1.13491E-014, 5.54229E-014, 2.99593E-014, 0, 0
6, 0.00000, 0, 0, 2.04803E-015, 3.45008E-014, -1.49509E-014, 2.77258E-014, 0, 0
7, 0.00000, 0.671273, 8.06244E-006, 0.671256, 1.73211E-006, 0.671271, -1.08915E-005, 0, 0
8, 0.00000, 1.34578, 3.58963E-005, 1.34568, 2.4358E-005, 1.34574, -6.53979E-005, 0, 0
9, 0.00000, 2.02348, 3.73818E-005, 2.02332, 6.25975E-005, 2.02339, -0.000103827, 0, 0
10, 0.00000, 3.38836, 3.83237E-005, 3.3883, -9.06208E-006, 3.38839, -3.5292E-005, 0, 0
11, 0.00000, 5.45984, 8.73754E-005, 5.45964, 1.7451E-005, 5.45984, -0.000121035, 0, 0
12, 0.00000, 6.15679, 1.68585E-005, 6.15655, 0.000117966, 6.15659, -0.000133251, 0, 0
13, 0.00000, 6.85703, -4.59674E-005, 6.8566, 0.000289811, 6.8565, -0.000221454, 0, 0
14, 0.00000, 6.85673, -0.000191291, 6.85695, 0.000103269, 6.85646, 0.0001171, 0, 0
15, 0.00000, 6.78643, 0.000139629, 6.7865, -0.000194255, 6.78685, -1.98651E-006, 0, 0
16, 0.00000, 6.15641, 1.11296E-005, 6.15679, -0.000235046, 6.15682, 0.000212349, 0, 0
17, 0.00000, 4.76605, -6.71125E-005, 4.7662, -9.86321E-006, 4.76605, 8.7531E-005, 0, 0
18, 0.00000, 2.70426, -5.24018E-005, 2.70434, 1.28724E-005, 2.70423, 4.62022E-005, 0, 0
19, 0.00000, 0.671265, -1.21345E-005, 0.671281, 5.04391E-006, 0.671257, 8.20183E-006, 0, 0
20, 0.00000, -3.93469E-015, 3.58032E-018, -2.52898E-014, 5.01432E-014, -2.72428E-014, -1.50698E-014, 0, 0
21, 0.00000, -3.935E-015, 3.01177E-018, 0, 0, -3.03735E-014, 5.42516E-014, 0, 0
22, 0.00000, -3.93504E-015, 2.97821E-018, 3.07945E-014, 5.44706E-014, 1.18747E-014, 4.23025E-014, 0, 0
23, 0.00000, -3.93527E-015, 2.66514E-018, 3.5393E-015, 7.00734E-014, -3.0639E-014, 5.39933E-014, 0, 0
24, 0.00000, -3.93272E-015, 6.9533E-018, 4.4074E-014, 4.56478E-014, -2.78207E-014, -1.47587E-014, 0, 0
