hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
1, 0.00000, 6.40369E-014, 100.537, 4.36158E-014, 105.034, 3.15013E-014, 118.128, 0, 0
2, 0.00000, 1.25901E-013, 89.9286, 4.63296E-014, 150.033, 3.15034E-014, -61.7404, 0, 0
3, 0.00000, 3.93461E-015, -0.0676519, 1.54507E-014, 150.032, 0, 0, 0, 0
4, 0.00000, 6.30811E-014, -93.6387, 1.54621E-014, -29.9689, 0, 0, 0, 0
5, 0.00000, 3.93494E-015, 179.939, 1.54634E-014, -29.9689, 3.15054E-014, 118.377, 0, 0
6, 0.00000, 0, 0, 4.37086E-014, 105.033, 4.45538E-014, 73.3184, 0, 0
7, 0.00000, 0.671273, 0.000688936, 0.671256, 0.000145636, 0.671271, -0.000927452, 0, 0
8, 0.00000, 1.34578, 0.00152704, 1.34568, 0.00104508, 1.34574, -0.0027891, 0, 0
9, 0.00000, 2.02349, 0.00106017, 2.02332, 0.00177831, 2.02339, -0.00294645, 0, 0
10, 0.00000, 3.38836, 0.000646817, 3.3883, -0.000155393, 3.38839, -0.000592438, 0, 0
11, 0.00000, 5.45984, 0.000917245, 5.45964, 0.000177957, 5.45984, -0.00126431, 0, 0
12, 0.00000, 6.15679, 0.000162453, 6.15655, 0.00109306, 6.15659, -0.00124204, 0, 0
13, 0.00000, 6.85703, -0.000372241, 6.8566, 0.00241184, 6.8565, -0.00185609, 0, 0
14, 0.00000, 6.85673, -0.0015905, 6.85694, 0.000859481, 6.85647, 0.00097149, 0, 0
15, 0.00000, 6.78643, 0.00117063, 6.78651, -0.00163736, 6.78685, -6.72716E-006, 0, 0
16, 0.00000, 6.15641, 9.47433E-005, 6.15679, -0.00217838, 6.15682, 0.00197826, 0, 0
17, 0.00000, 4.76605, -0.000805553, 4.7662, -0.000115333, 4.76605, 0.00104662, 0, 0
18, 0.00000, 2.70426, -0.00110694, 2.70434, 0.00027499, 2.70423, 0.000971615, 0, 0
19, 0.00000, 0.671265, -0.00103181, 0.67128, 0.000431248, 0.671257, 0.000693963, 0, 0
20, 0.00000, 0, 0, 1.55759E-014, 150.454, 0, 0, 0, 0
21, 0.00000, 6.30829E-014, 93.5325, 0, 0, 4.39647E-014, 74.2429, 0, 0
22, 0.00000, 0, 0, 3.12864E-014, 150.519, 6.94714E-014, 55.8851, 0, 0
23, 0.00000, 0, 0, 3.13777E-014, 150.543, 6.20808E-014, 119.573, 0, 0
24, 0.00000, 6.3045E-014, 93.4735, 3.07731E-014, -119.964, 4.45439E-014, 72.9292, 0, 0
