"Time stamp","System power generated | (kW)"
"1",-12.2538
"2",-12.2538
"3",-12.2538
"4",-12.2538
"5",-12.2538
"6",-12.2538
"7",-12.2538
"8",-12.2538
"9",44566.9
"10",58095.1
"11",57726.3
"12",52266.4
"13",49402.4
"14",51409.9
"15",55728.1
"16",54764.1
"17",41987.2
"18",-12.2538
"19",-12.2538
"20",-12.2538
"21",-12.2538
"22",-12.2538
"23",-12.2538
"24",-12.2538
"25",-12.2538
"26",-12.2538
"27",-12.2538
"28",-12.2538
"29",-12.2538
"30",-12.2538
"31",-12.2538
"32",-12.2538
"33",42705.1
"34",57246.9
"35",57684
"36",52442.5
"37",49609.4
"38",51466.9
"39",55436.2
"40",53825.1
"41",41642.2
"42",-12.2538
"43",-12.2538
"44",-12.2538
"45",-12.2538
"46",-12.2538
"47",-12.2538
"48",-12.2538
"49",-12.2538
"50",-12.2538
"51",-12.2538
"52",-12.2538
"53",-12.2538
"54",-12.2538
"55",-12.2538
"56",-12.2538
"57",41290.5
"58",55047.5
"59",55699.4
"60",51242.9
"61",38966.1
"62",10450.7
"63",19861.6
"64",54310.1
"65",42213.5
"66",-12.2538
"67",-12.2538
"68",-12.2538
"69",-12.2538
"70",-12.2538
"71",-12.2538
"72",-12.2538
"73",-12.2538
"74",-12.2538
"75",-12.2538
"76",-12.2538
"77",-12.2538
"78",-12.2538
"79",-12.2538
"80",-12.2538
"81",44966.9
"82",58217.1
"83",58318.3
"84",52432.7
"85",49568.1
"86",51509.3
"87",55052
"88",54519.5
"89",42589.8
"90",-12.2538
"91",-12.2538
"92",-12.2538
"93",-12.2538
"94",-12.2538
"95",-12.2538
"96",-12.2538
"97",-12.2538
"98",-12.2538
"99",-12.2538
"100",-12.2538
"101",-12.2538
"102",-12.2538
"103",-12.2538
"104",-12.2538
"105",42623.9
"106",57103.5
"107",57102.3
"108",52409.9
"109",49700.5
"110",51725.9
"111",55444.4
"112",55210.6
"113",43261
"114",-12.2538
"115",-12.2538
"116",-12.2538
"117",-12.2538
"118",-12.2538
"119",-12.2538
"120",-12.2538
"121",-12.2538
"122",-12.2538
"123",-12.2538
"124",-12.2538
"125",-12.2538
"126",-12.2538
"127",-12.2538
"128",-12.2538
"129",41018.3
"130",55469.4
"131",56397.8
"132",51582.7
"133",48900.2
"134",50605.6
"135",54787.4
"136",54101.8
"137",42459.6
"138",-12.2538
"139",-12.2538
"140",-12.2538
"141",-12.2538
"142",-12.2538
"143",-12.2538
"144",-12.2538
"145",-12.2538
"146",-12.2538
"147",-12.2538
"148",-12.2538
"149",-12.2538
"150",-12.2538
"151",-12.2538
"152",-12.2538
"153",39825.9
"154",54897.7
"155",56465.8
"156",52581.8
"157",49669.2
"158",51488.2
"159",55151.5
"160",53674.1
"161",40804.9
"162",-12.2538
"163",-12.2538
"164",-12.2538
"165",-12.2538
"166",-12.2538
"167",-12.2538
"168",-12.2538
"169",-12.2538
"170",-12.2538
"171",-12.2538
"172",-12.2538
"173",-12.2538
"174",-12.2538
"175",-12.2538
"176",-12.2538
"177",38354.2
"178",56175.6
"179",59368.4
"180",55496.3
"181",52880.9
"182",55197.1
"183",59295.3
"184",58428.9
"185",45730.3
"186",-12.2538
"187",-12.2538
"188",-12.2538
"189",-12.2538
"190",-12.2538
"191",-12.2538
"192",-12.2538
"193",-12.2538
"194",-12.2538
"195",-12.2538
