"Time stamp","Subarray 1 Cell temperature (steady state) | (C)"
"1",25.8
"2",25.7
"3",25.6
"4",25.5
"5",25.4
"6",25.4
"7",25.3
"8",25.2
"9",25.8
"10",35.8784
"11",42.0054
"12",45.5969
"13",47.1552
"14",47.878
"15",47.971
"16",47.8553
"17",47.3491
"18",46.1939
"19",44.3514
"20",40.5099
"21",34.2062
"22",26.8
"23",26.6
"24",26.5
"25",26.3
"26",26.2
"27",26
"28",25.7
"29",25.6
"30",25.4
"31",25.3
"32",25.2
"33",25.8
"34",37.7117
"35",44.4656
"36",47.9466
"37",49.2346
"38",49.6085
"39",49.3558
"40",48.5624
"41",47.5903
"42",46.2552
"43",44.2773
"44",40.4906
"45",34.0064
"46",26.8
"47",26.6
"48",26.4
"49",26.3
"50",26.1
"51",26
"52",25.8
"53",25.7
"54",25.5
"55",25.4
"56",25.3
"57",25.9
"58",36.9967
"59",43.8115
"60",47.7612
"61",49.1226
"62",49.4385
"63",47.3007
"64",45.1464
"65",47.5399
"66",45.2617
"67",44.3242
"68",40.5382
"69",34.0212
"70",26.8
"71",26.5
"72",26.3
"73",26.2
"74",26.1
"75",25.9
"76",25.8
"77",25.7
"78",25.6
"79",25.6
"80",25.5
"81",26.1
"82",35.6448
"83",41.2292
"84",44.5308
"85",45.1329
"86",46.6468
"87",42.6444
"88",43.1575
"89",42.7147
"90",38.1499
"91",39.6301
"92",38.6814
"93",33.1803
"94",26.7
"95",26.5
"96",26.2
"97",26.1
"98",25.9
"99",25.8
"100",25.6
"101",25.4
"102",25.3
"103",25.1
"104",24.9
"105",25.5
"106",35.9207
"107",42.7075
"108",46.009
"109",47.1615
"110",48.2959
"111",48.0389
"112",47.619
"113",46.8049
"114",45.8621
"115",44.2765
"116",40.7362
"117",34.4609
"118",26.7
"119",26.3
"120",26
"121",25.7
"122",25.5
"123",25.4
"124",25.4
"125",25.4
"126",25.2
"127",25
"128",25
"129",25.6
"130",36.0427
"131",42.287
"132",46.5921
"133",46.1461
"134",47.9165
"135",45.3892
"136",46.3677
"137",47.198
"138",46.7242
"139",44.6536
"140",41.0198
"141",34.3622
"142",27.3
"143",27
"144",26.8
"145",26.5
"146",26.3
"147",26.1
"148",26.1
